tiempo,evacuados,muertos,heridos,vivos,humo_promedio,densidad_promedio
242,149,94,99,222,1930.59619140625,3.09009009009009
243,150,94,99,221,1948.54638671875,3.1176470588235294
244,151,94,99,220,1966.52490234375,3.0090909090909093
245,152,94,99,219,1984.58740234375,3.0
246,153,94,99,218,2002.742919921875,2.9724770642201834
247,153,94,99,218,2020.9539794921875,3.0458715596330275
248,154,94,100,217,2039.2645263671875,3.064516129032258
249,155,94,100,216,2057.7080078125,2.9722222222222223
250,156,94,100,215,2076.15185546875,3.0
251,157,94,100,214,2094.642333984375,3.0186915887850465
252,157,94,100,214,2113.16259765625,3.1401869158878504
253,158,94,100,213,2131.732177734375,3.112676056338028
254,159,94,100,212,2150.4619140625,3.018867924528302
255,160,94,100,211,2169.244384765625,3.0
256,160,94,100,211,2188.107666015625,3.009478672985782
257,161,94,100,210,2207.02490234375,3.057142857142857
258,162,94,100,209,2225.972900390625,2.9425837320574164
259,163,94,100,208,2245.004638671875,2.894230769230769
260,163,94,100,208,2264.21875,3.0096153846153846
261,164,94,100,207,2283.487548828125,3.0386473429951693
262,165,94,100,206,2302.8125,3.0097087378640777
263,166,94,100,205,2322.216552734375,2.951219512195122
264,166,94,100,205,2341.792724609375,2.951219512195122
265,167,94,100,204,2361.444091796875,2.9215686274509802
266,168,94,100,203,2381.2548828125,3.019704433497537
267,169,94,101,202,2401.15771484375,2.9207920792079207
268,170,94,101,201,2421.282470703125,3.08955223880597
269,170,94,103,201,2441.42724609375,3.0796019900497513
270,171,94,103,200,2461.568115234375,3.1
271,172,94,103,199,2481.789794921875,3.080402010050251
272,173,94,104,198,2502.01123046875,3.080808080808081
273,173,94,104,198,2522.279052734375,3.0505050505050506
274,174,94,106,197,2542.60107421875,3.0710659898477157
275,174,94,109,197,2562.943115234375,3.1725888324873095
276,175,94,109,196,2583.3388671875,3.010204081632653
277,176,94,109,195,2603.83837890625,3.051282051282051
278,177,94,109,194,2624.362060546875,3.1030927835051547
279,177,94,109,194,2644.96142578125,3.1237113402061856
280,178,94,109,193,2665.654541015625,3.093264248704663
281,179,94,111,192,2686.5859375,3.09375
282,180,94,111,191,2707.64794921875,3.0837696335078535
283,180,94,112,191,2728.726318359375,3.0418848167539267
284,181,94,112,190,2749.8447265625,3.0842105263157893
285,181,94,112,190,2771.068115234375,3.0105263157894737
286,182,94,114,189,2792.360107421875,2.9153439153439153
287,182,94,114,189,2813.720458984375,3.0634920634920637
288,183,94,116,188,2835.224853515625,3.0531914893617023
289,184,94,117,187,2856.753173828125,3.053475935828877
290,184,94,117,187,2878.330078125,2.9893048128342246
291,185,94,118,186,2899.9794921875,2.924731182795699
292,186,94,119,185,2921.673583984375,2.902702702702703
293,187,94,120,184,2943.46533203125,3.0
294,188,94,120,183,2965.421630859375,2.9672131147540983
295,188,94,120,183,2987.3974609375,3.0546448087431695
296,189,94,120,182,3009.394775390625,3.087912087912088
297,190,94,120,181,3031.41748046875,3.154696132596685
298,190,94,121,181,3053.603271484375,3.165745856353591
299,190,94,121,181,3075.806884765625,3.088397790055249
